AssetCategory,ShortCode,CategoryDescription,AssetSubCategory,SubCategoryShortCode,SubCategoriesDescription
Land,L,Land includes land and land improvement. Building comprises freehold and long term lease hold building.,Sub Category Of Land,L1,
Buildings,B,Land includes land and land improvement. Building comprises freehold and long term lease hold building.,Sub Category Of Building,B1,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Collapsible Gate,01,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Conference/Meeting Table,02,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Corner Table,03,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Dining Chair,04,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Dining Table,05,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Dressing Table,06,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Executive Chair,07,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Executive Table,08,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,File Cabinet,09,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Fire Proof Almirah,10,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Iron Safe,11,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Library Books,12,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Locker,13,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Mobile Drawer,14,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,MS Angle Rack,15,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Neon Sign,16,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Notice Board,17,
Furniture & fixtures,F,Under this category of fixed asset all types of office furnishing item should be recorded. A list of example items of furniture & fixture is attached with this policy as “Annexure-1: Example list of furniture & fixture”.,Officer's Chair,18,
